"","id","median_comment_length","mean_comment_length","number_of_runs","days_in_database","number_of_platforms_played_on","fraction_of_runs_played_on_emulated","number_unique_players","fraction_runs_by_unique_players","run_production_rate"
"166","m1m2oxd27kjzg3gdgame-level","39","54.1470588235294","82","1776","3","0","78","0.951219512195122","0.0461711711711712"
"167","m1m2oxd29kvpggjkgame-level","93","96.0393258426966","305","2361.95833333333","5","0","271","0.888524590163934","0.129130135657205"
"168","m1m2oxd2jdz34wr2game-level","58","80.1354166666667","207","2305.95833333333","5","0","189","0.91304347826087","0.0897674502647128"
"169","m1m2oxd2z273wr5dgame-level","44","63.735632183908","201","2308.95833333333","4","0","190","0.945273631840796","0.0870522421726969"
"170","m1m7pp129kvn60dggame-level","43","59.5964912280702","91","2734.95833333333","3","0","89","0.978021978021978","0.0332729017809534"
"171","m1mgkj12zdn8l8edgame-level","58","94.4444444444444","14","1759","1","0","14","1","0.00795906765207504"
"172","m1mjnk129kvpyw0kgame-level","49","64.8571428571429","51","2380.04166666667","2","0","51","1","0.021428196285079"
"173","m1mnjexdzd3qj78kgame-level","88.5","115","38","89.9583333333333","1","0","38","1","0.422417786012043"
"174","m1mr7j62wkpq8x0dgame-level","83.5","96.45","52","1592.04166666667","4","0","52","1","0.0326624617236777"
"175","m1mx4jx6wdmx463kgame-level","62","84.2083333333333","32","853.041666666667","2","0","21","0.65625","0.0375128217652518"
"176","m1mx75p6mker558dgame-level","34","45.4552845528455","199","1764.04166666667","3","0","191","0.959798994974874","0.112809126768548"
"177","m1mx75p6xk9vr84dgame-level","28","67.0909090909091","13","488.041666666667","2","0","13","1","0.0266370699223085"
"178","m1mxrr36w208pvodgame-level","85","97.9310344827586","35","325","1","0","35","1","0.107692307692308"
"179","m1z9l2d05dw6zee2game-level","43.5","56","143","1567.95833333333","2","0","137","0.958041958041958","0.0912014030985092"
"180","m1z9l2d0824m59e2game-level","55","79.179746835443","519","1703","3","0.00192678227360308","519","1","0.3047563123899"
"181","m1z9l2d0mkeqo0xkgame-level","50","57.7619047619048","276","1711","2","0.0036231884057971","256","0.927536231884058","0.161309175920514"
"182","m1z9l2d0n2y9zxzdgame-level","46","57.2674157303371","754","1711","3","0.00530503978779841","710","0.941644562334218","0.440677966101695"
"183","m1z9l2d0q25ezlg2game-level","65.5","144.823529411765","63","1305.04166666667","2","0","50","0.793650793650794","0.0482743207432713"
"184","m1z9l2d0vdoxwxodgame-level","23.5","38.8819444444444","261","420.958333333333","3","0","261","1","0.620013857270118"
"185","m1z9l2d0wkpmj40kgame-level","54","84.1384615384615","357","1659","2","0.00560224089635854","344","0.96358543417367","0.215189873417722"
"186","m1zgg060w20zxjodgame-level","51","70.28","64","1885.95833333333","3","0","52","0.8125","0.0339350020988445"
