"","iter","lambda","lambda_err","beta","beta_err","I_inf","I_inf_err","tau0","tau0_err","R_sq","delta_R_sq","R_sq_adj","convergence","id","run_date_in_days_max","R_sq_cat","beta_cat","tau0_cat"
"292",147,0.15306394602601,0.031234957307247,0.671333680487479,0.0360146862942829,0.533893796207733,0.0286144820413932,16.3753531589654,7.4336374048168,0.945781219479537,9.73864872078067e-08,0.913249951167259,TRUE,"pdvzxmr6jdz645r2game-level",98,9,0,0
"293",939,0.00915134123893355,0.00109351775614993,7.75210060515245,0.157457119599513,0.370670750487471,0.00661360656298705,1.83215811633715,0.0507741461272889,0.99017141409257,9.99343164886923e-08,0.985959162989386,TRUE,"pdvzxmr6q25ep4j2game-level",536,9,3,0
"294",3,0.000672039787164388,0.000201505044075262,1.00005841140764,0.00168002972495061,0,0.227076269628226,1487.37236756394,464.201387574199,0.995197668125403,4.21151071794412e-08,0.992316269000645,TRUE,"pdvzxmr6z27m5102game-level",1019,9,1,2
"295",875,0.00762012698368133,0.00161525425311736,0.845138231650962,0.0270501953547593,0.658583685931401,0.0229866965395155,320.732984053108,139.683195899448,0.877120165071675,9.91974866693113e-08,0.824457378673822,TRUE,"qw6jp56jrklg0ndngame-level",2651,8,0,0
"296",10000,5.70098302414044e-11,1.33215631424399e-10,2.90508166461999,0.0190877180249914,0,1.58854780831829,3359.32542163673,2881.3020250111,0.849279296558265,8.47945859860921e-07,0.758846874493224,FALSE,"qw6jp56jw20ze5dn5920l3d6",3173,7,2,6
"297",1687,0.0460847588357342,0.0118049627989096,0.485586253592111,0.00874098571341357,0.443379281432907,0.0530042010877772,565.229879025559,362.650504257394,0.964566702880501,9.96783564577441e-08,0.943306724608801,TRUE,"qw6jqx1jzdnprxkqgame-level",2804,9,0,1
"298",2302,0.00477335274135203,0.00149129837969082,0.713709969252297,0.00603464114561946,0,0.172806079624208,1787.59251597242,895.694167142951,0.952604865973641,9.96201076075565e-08,0.932292665676631,TRUE,"qw6jv76j37dg47d4game-level",3216,9,0,3
"299",464,0.0273325854681979,0.00341636134044835,0.698730239914946,0.0115077107674949,0.449852731137926,0.0219037458662547,172.731573521252,45.5547063352312,0.974204267570939,9.94943756271738e-08,0.963148953672769,TRUE,"qw6jw41jjdz3zr2v69zpx6w1",1576,9,0,0
"300",10000,6.24468229879993e-09,1.87878122567433e-09,3.39913942362036,0.0329824852914471,0.641928039965665,0.0389455636913371,259.23648486924,36.9253139261771,0.807193554502192,1.42907447564511e-06,0.691509687203508,FALSE,"qw6jw41jjdz3zr2vgdrpg8wz",1799,6,3,0
"301",897,0.0456896204060546,0.00669624107905747,0.590177112038329,0.0125861713254574,0.539546675673225,0.0230788446289204,186.558053895273,67.1310080085222,0.955101629622544,9.92354707296528e-08,0.932652444433815,TRUE,"qw6jw41jjdz3zr2vxd40n09m",2333,9,0,0
"302",934,0.00904926165745717,0.00192401307944157,7.79250347838564,0.273176102543119,0.477791431634887,0.0107801376903326,1.82904628550766,0.0886198648602106,0.976689573503215,9.98414324548946e-08,0.962703317605144,TRUE,"v1p0x468q2548ovdgame-level",831,9,3,0
"303",192,0.0236624111045764,0.00521555060983723,1.0964508242275,0.0632338957123942,0.671296402102523,0.0112278001610174,30.4027479468857,12.0986800790473,0.93419999935679,9.89194035572183e-08,0.905999999081128,TRUE,"v1p42z1802qogojkgame-level",1190,9,1,0
"304",2,0.00513121791948146,0.000393047343762701,1.00010834179255,0.00827509299437376,0.00830247166004254,0.0138936407255174,194.774226714188,23.414039954822,0.995348130972576,8.11904266040386e-08,0.993354472817966,TRUE,"v1p42z18vdoo4y9dgame-level",1184,9,1,0
"305",1205,0.0163827302514881,0.00149134627828049,0.68359231393371,0.00446644804751927,0.419768007638289,0.0234844984757366,409.357989874221,70.5997542084963,0.993668018208917,9.99352647301777e-08,0.989868829134268,TRUE,"v1p4e418rklernr2game-level",1439,9,0,0
"306",3902,0.0018683220532907,0.000809595585174683,0.840395984322253,0.00568930185554643,0.0794575699342899,0.282956706761241,1764.98570358745,999.393863389513,0.975075184821707,9.99290195036195e-08,0.960120295714732,TRUE,"v1p4e418vdoq1yykgame-level",1452,9,0,3
"307",3637,0.019099405666881,0.00253615345469415,0.629558032183596,0.00745631091270499,0.366322204315523,0.0312442590623218,537.595257727969,153.420967780731,0.974631125107174,9.99245626243095e-08,0.961946687660761,TRUE,"v1plmp68n2y39y1dgame-level",2598,9,0,1
"308",10000,1.17384839988921e-15,1.50233430204803e-16,8.8550830036597,0.0282274473856303,0.363174138602627,0.0275124013948342,48.5379118141669,1.30222004992361,0.969681244284234,2.72855913263648e-06,0.956687491834621,FALSE,"v1po7r7602qv087dgame-level",485,9,3,0
"309",9537,6.28771414213071e-09,1.73550682408226e-10,3.6667066913602,0.00439431041571041,0.0214039123406465,0.00737586550922849,172.484580937137,2.3630257708116,0.998920180526912,9.99967973980276e-08,0.998272288843059,TRUE,"v1po7r769kv9nz32xd130359",884,9,3,0
"310",1637,0.000309434274708692,0.000299610636535482,1.24693235129011,0.0165084748069439,0,0.665735201328229,652.30734259839,562.488060878271,0.69208763722164,9.96397023778073e-08,0.621030938118941,TRUE,"v1po7r76mkeqn79kkwj8yv79",591,6,1,1
"311",318,0.0670736159886478,0.00790506174296991,0.61616817210989,0.0114414979891171,0.0272898465881278,0.0289877014885222,80.2469591900535,21.8833009142642,0.975081767338471,9.83895568351656e-08,0.967606297540012,TRUE,"v1po7r76mkeqn79kxd130359",640,9,0,0
"312",532,0.038580319958476,0.0191432716227153,0.665017197734882,0.0169682463531705,0,0.292961741082593,133.570546553335,116.343152791348,0.922165849132568,9.3807585810346e-08,0.892978042557281,TRUE,"v1po7r76mkeqn79kywe3klr9",164,8,0,0
"313",10000,1.54198952994767e-12,8.26505545109806e-14,5.19597002628828,0.00842316895994036,0.0183851108769195,0.0141042171201188,187.622356783201,3.52752444691471,0.990790496560769,2.58835365141152e-07,0.988488120700961,FALSE,"v1po7r76rklrny8kkwj8yv79",546,9,3,0
"314",178,0.107849915764822,0.0188876612418095,0.713302084117392,0.0390006862177688,0.290706566106138,0.0411814291561137,22.6944403961595,9.4459866249379,0.931705070704495,9.89636095294344e-08,0.890728113127191,TRUE,"v1ponx76wdmvmz4dy9mg6l19",356,8,0,0
"315",93,0.0971216244478699,0.0209904662209441,1.5547530219438,0.139501123868168,0.559892882179952,0.0188118598020926,4.48071398094943,1.22582671899316,0.925660716066297,9.93600155485552e-08,0.888491074099446,TRUE,"v1ponx76zd3oqgndkwj6gnzd",427,8,1,0
"316",973,0.0119727720646564,0.00183139712920326,3.13357890395863,0.0859383108554384,0.271530677655847,0.0109635995243294,4.1048193254612,0.359347407549441,0.984006368167013,9.98026539189567e-08,0.976009552250519,TRUE,"v1ponx76zd3oqgndowo5jzyd",238,9,3,0
"317",2984,0.000557905511338747,5.16549710226111e-05,1.88322402393892,0.00324982257825928,0.122599310005897,0.0344631480862948,53.4060169766073,2.99227714331623,0.999352920729287,9.99886834440744e-08,0.999110266002769,TRUE,"v1poy886mke4e0x2game-level",72,9,1,0
"318",10000,5.31288746179319e-07,6.66714492554986e-08,2.32994017207787,0.0105116679446291,0.224915502987126,0.0383875956184892,493.242286039908,40.3649588751918,0.959824312902873,1.14285355279353e-06,0.94643241720383,FALSE,"v1poy886mkeqrynkgame-level",901,9,2,0
"319",3305,0.00617950827185709,0.00265765849504752,0.659537687601113,0.00731523088365572,0.773821300391994,0.0621318730541499,2235.55661957263,1649.00725670744,0.959854682913976,9.99528370071445e-08,0.935767492662362,TRUE,"w6j395djn2yqq7zkgame-level",2502,9,0,4
"320",4640,0.000680686086333628,0.00171694899336706,0.815862193131095,0.0129197682913027,0,2.07302722335612,7618.12557783397,24631.063401966,0.785977646075702,9.98586772160692e-08,0.657564233721122,TRUE,"w6j54x1jjdz5yn6dgame-level",2844,6,0,-1
